state,group,rurality,year,half_year,suppression_used,total_prescriptions,chipMedicaidEnroll
ri,1,1,2011,1,TRUE,0,185832
ri,1,1,2011,2,FALSE,580,187433
ri,1,1,2011,2,TRUE,0,187433
ri,1,1,2012,1,FALSE,2039,187409
ri,1,1,2012,1,TRUE,0,187409
ri,1,1,2012,2,FALSE,1785,189544
ri,1,1,2012,2,TRUE,0,189544
ri,1,1,2013,1,FALSE,549,193779
ri,1,1,2013,1,TRUE,0,193779
ri,1,1,2013,2,FALSE,437,190447
ri,1,1,2013,2,TRUE,0,190447
ri,1,1,2014,1,FALSE,491,255612
ri,1,1,2014,1,TRUE,0,255612
ri,1,1,2014,2,FALSE,462,263426
ri,1,1,2014,2,TRUE,0,263426
ri,1,1,2015,1,FALSE,407,274674
ri,1,1,2015,1,TRUE,0,274674
ri,1,1,2015,2,FALSE,272,280350
ri,1,1,2015,2,TRUE,0,280350
ri,1,1,2016,1,FALSE,5714,285580
ri,1,1,2016,1,TRUE,0,285580
ri,1,1,2016,2,FALSE,6068,300924
ri,1,1,2016,2,TRUE,0,300924
sc,0,2,2011,1,FALSE,10186,753440
sc,0,2,2011,1,TRUE,0,753440
sc,0,2,2011,2,FALSE,10885,766527
sc,0,2,2011,2,TRUE,0,766527
sc,0,2,2012,1,FALSE,10993,777809
sc,0,2,2012,1,TRUE,0,777809
sc,0,2,2012,2,FALSE,12281,840321
sc,0,2,2012,2,TRUE,0,840321
sc,0,2,2013,1,FALSE,13485,848485
sc,0,2,2013,1,TRUE,0,848485
sc,0,2,2013,2,FALSE,13592,844018
sc,0,2,2013,2,TRUE,0,844018
sc,0,2,2014,1,FALSE,14321,853352
sc,0,2,2014,1,TRUE,0,853352
sc,0,2,2014,2,FALSE,17296,995296
sc,0,2,2014,2,TRUE,0,995296
sc,0,2,2015,1,FALSE,20551,1009201
sc,0,2,2015,1,TRUE,0,1009201
sc,0,2,2015,2,FALSE,23027,936141
sc,0,2,2015,2,TRUE,0,936141
sc,0,2,2016,1,FALSE,20840,1016732
sc,0,2,2016,1,TRUE,0,1016732
sc,0,2,2016,2,FALSE,20866,1032898
