year,state,halfyear,suppression,totalRX
2014,TN,2,F,20666
2014,TX,1,T,0
2014,TX,1,F,4336
2014,TX,2,T,0
2014,TX,2,F,16419
2014,UT,1,T,0
2014,UT,1,F,3274
2014,UT,2,F,2831
2014,UT,2,T,0
2014,VA,1,T,0
2014,VA,1,F,17477
2014,VA,2,T,0
2014,VA,2,F,18656
2014,VT,1,T,0
2014,VT,1,F,2269
2014,VT,2,T,0
2014,VT,2,F,1773
2014,WA,1,T,0
2014,WA,1,F,9723
2014,WA,2,T,0
2014,WA,2,F,17504
2014,WI,1,T,0
2014,WI,1,F,21400
2014,WI,2,F,22283
2014,WI,2,T,0
2014,WV,1,T,0
2014,WV,1,F,7273
2014,WV,2,F,9906
2014,WV,2,T,0
2014,WY,1,T,0
2014,WY,1,F,949
2014,WY,2,T,0
2014,WY,2,F,1149
2015,AK,1,T,0
2015,AK,1,F,1595
2015,AK,2,T,0
2015,AK,2,F,1636
2015,AL,1,T,0
2015,AL,1,F,14348
2015,AL,2,F,12521
2015,AL,2,T,0
2015,AR,1,T,0
2015,AR,1,F,3276
2015,AR,2,T,0
2015,AR,2,F,3170
2015,AZ,1,F,14731
2015,AZ,1,T,0
2015,AZ,2,T,0
2015,AZ,2,F,14246
2015,CA,1,T,0
2015,CA,1,F,60339
2015,CA,2,T,0
2015,CA,2,F,63608
2015,CO,1,T,0
2015,CO,1,F,11641
2015,CO,2,T,0
2015,CO,2,F,10990
2015,CT,1,T,0
2015,CT,1,F,14572
2015,CT,2,T,0
2015,CT,2,F,14610
2015,DC,1,F,1953
2015,DC,1,T,0
2015,DC,2,F,2203
2015,DC,2,T,0
2015,DE,1,T,0
2015,DE,1,F,1548
2015,DE,2,F,1643
2015,DE,2,T,0
2015,FL,1,T,0
2015,FL,1,F,11538
2015,FL,2,F,16289
2015,FL,2,T,0
2015,GA,1,T,0
2015,GA,1,F,12784
2015,GA,2,T,0
2015,GA,2,F,14111
2015,HI,1,T,0
2015,HI,1,F,3015
2015,HI,2,F,3036
2015,HI,2,T,0
2015,IA,1,F,11161
2015,IA,1,T,0
2015,IA,2,F,11250
2015,IA,2,T,0
2015,ID,1,F,4165
2015,ID,1,T,0
2015,ID,2,F,4141
