state,group,year,halfyear,chipMedicaidEnroll,suppression,totalRX
MA,1,2014,2,1586233,T,0
MA,1,2014,2,1586233,F,13540
MA,1,2015,1,1642613,T,0
MA,1,2015,1,1642613,F,13652
MA,1,2015,2,1676400,T,0
MA,1,2015,2,1676400,F,13327
MA,1,2016,1,1665649,T,0
MA,1,2016,1,1665649,F,15277
MA,1,2016,2,1655529,T,0
MA,1,2016,2,1655529,F,15518
MD,1,2011,1,945318,F,11201
MD,1,2011,1,945318,T,0
MD,1,2011,2,968438,F,11708
MD,1,2011,2,968438,T,0
MD,1,2012,1,986763,F,12179
MD,1,2012,1,986763,T,0
MD,1,2012,2,1009705,T,0
MD,1,2012,2,1009705,F,12615
MD,1,2013,1,1033249,F,12680
MD,1,2013,1,1033249,T,0
MD,1,2013,2,1064852,T,0
MD,1,2013,2,1064852,F,12401
MD,1,2014,1,1156628,T,0
MD,1,2014,1,1156628,F,15054
MD,1,2014,2,1143810,F,15421
MD,1,2014,2,1143810,T,0
MD,1,2015,1,1189192,T,0
MD,1,2015,1,1189192,F,15667
MD,1,2015,2,1162313,T,0
MD,1,2015,2,1162313,F,16273
MD,1,2016,1,1229447,F,17126
MD,1,2016,1,1229447,T,0
MD,1,2016,2,1281890,F,15848
MD,1,2016,2,1281890,T,0
ME,0,2011,1,313545,F,6917
ME,0,2011,1,313545,T,0
ME,0,2011,2,304560,F,7285
ME,0,2011,2,304560,T,0
ME,0,2012,1,301438,F,7396
ME,0,2012,1,301438,T,0
ME,0,2012,2,299746,F,7858
ME,0,2012,2,299746,T,0
ME,0,2013,1,288081,T,0
ME,0,2013,1,288081,F,7261
ME,0,2013,2,278909,T,0
ME,0,2013,2,278909,F,4308
ME,0,2014,1,299549,T,0
ME,0,2014,1,299549,F,4022
ME,0,2014,2,287807,T,0
ME,0,2014,2,287807,F,4461
ME,0,2015,1,283399,T,0
ME,0,2015,1,283399,F,4351
ME,0,2015,2,279000,T,0
ME,0,2015,2,279000,F,4286
ME,0,2016,1,274432,T,0
ME,0,2016,1,274432,F,4458
ME,0,2016,2,269428,T,0
ME,0,2016,2,269428,F,4255
MI,0,2011,1,1984243,F,13887
MI,0,2011,1,1984243,T,0
MI,0,2011,2,1945548,F,14503
MI,0,2011,2,1945548,T,0
MI,0,2012,1,1936772,F,14920
MI,0,2012,1,1936772,T,0
MI,0,2012,2,1943727,F,15354
MI,0,2012,2,1943727,T,0
MI,0,2013,1,1976271,T,0
MI,0,2013,1,1976271,F,17114
MI,0,2013,2,1942149,T,0
MI,0,2013,2,1942149,F,12307
MI,0,2014,1,2198387,T,0
MI,0,2014,1,2198387,F,14737
MI,0,2014,2,2253958,T,0
MI,0,2014,2,2253958,F,20431
MI,0,2015,1,2334621,T,0
MI,0,2015,1,2334621,F,25297
MI,0,2015,2,2311459,T,0
MI,0,2015,2,2311459,F,26112
MI,0,2016,1,2312812,F,34292
MI,0,2016,1,2312812,T,0
MI,0,2016,2,2330154,F,29476
MI,0,2016,2,2330154,T,0
MN,1,2011,1,834048,T,0
MN,1,2011,1,834048,F,10775
MN,1,2011,2,862672,F,14042
MN,1,2011,2,862672,T,0
MN,1,2012,1,870180,F,16220
MN,1,2012,1,870180,T,0
MN,1,2012,2,871206,T,0
MN,1,2012,2,871206,F,17135
MN,1,2013,1,880992,F,17961
MN,1,2013,1,880992,T,0
MN,1,2013,2,874658,F,19441
